SubscriptionId,Number,PlanID,CustomerID,Status,StartDate,NextBillingAt,RenewalDate,EndDate,IsAutoCollection,CreatedOn,EndAction,TotalTermAmount
1,cb-group-check-1,6,1,Active,2025-06-01 00:00:00.000,2025-08-01 00:00:00.000,2025-12-01 00:00:00.000,2026-05-31 00:00:00.000,1,2025-01-06 05:04:37.637,1,10.00
2,cb-group-check-2,6,1,Renewed,2025-01-06 00:00:00.000,2025-03-06 00:00:00.000,NULL,2026-01-05 00:00:00.000,1,2025-01-06 05:10:56.253,1,210.00
3,imaget-3,9,14,Expired,2025-01-06 00:00:00.000,2025-02-26 08:58:07.630,NULL,2025-01-11 00:00:00.000,1,2025-01-06 08:42:52.883,1,31.00
4,imaget-4,9,14,Expired,2025-01-06 00:00:00.000,2025-01-08 00:00:00.000,NULL,2025-01-10 00:00:00.000,0,2025-01-06 09:06:18.063,3,64.00
5,imaget-5,9,1,Expired,2025-01-07 00:00:00.000,2025-02-28 04:46:42.540,NULL,2025-01-12 00:00:00.000,1,2025-01-07 02:00:55.927,1,31.00
6,imaget-6,9,1,Renewed,2025-01-07 00:00:00.000,2025-01-07 00:00:00.000,NULL,2025-01-10 00:00:00.000,1,2025-01-07 02:21:52.540,1,31.00
7,imaget-7,9,1,Cancelled,2025-01-07 00:00:00.000,2025-01-07 00:00:00.000,NULL,2025-01-10 00:00:00.000,1,2025-01-07 02:42:10.767,1,31.00
8,imaget-8,9,1,Cancelled,2025-01-07 00:00:00.000,2025-01-08 00:00:00.000,NULL,2025-01-10 00:00:00.000,1,2025-01-07 02:46:40.593,1,31.00
9,imaget-9,9,1,Cancelled,2025-01-07 00:00:00.000,2025-01-07 00:00:00.000,NULL,2025-01-10 00:00:00.000,1,2025-01-07 02:47:03.807,1,90.00
10,imaget-10,9,1,Active,2025-01-07 00:00:00.000,2025-01-07 00:00:00.000,2025-01-09 00:00:00.000,2025-01-10 00:00:00.000,1,2025-01-07 03:43:59.383,1,33.00
11,imaget-11,9,1,Active,2025-01-07 00:00:00.000,NULL,2025-01-09 00:00:00.000,2025-01-10 00:00:00.000,1,2025-01-07 03:53:35.090,1,31.00
12,imaget-12,9,15,Active,2025-01-07 00:00:00.000,2025-01-08 00:00:00.000,2025-01-09 00:00:00.000,2025-01-10 00:00:00.000,0,2025-01-07 04:43:28.530,1,31.00
13,t-billing-cycle--13,13,18,Expired,2025-01-10 00:00:00.000,2025-03-01 03:00:33.587,NULL,2025-01-23 00:00:00.000,1,2025-01-07 08:49:52.843,3,21.00
14,imaget-14,9,18,Cancelled,2025-01-08 00:00:00.000,NULL,NULL,2025-01-09 00:00:00.000,1,2025-01-08 04:14:10.443,1,20.00
15,imaget-15,9,18,Active,2025-01-10 00:00:00.000,NULL,2025-01-12 00:00:00.000,2025-01-13 00:00:00.000,0,2025-01-08 04:42:22.780,1,31.00
16,imaget-16,9,18,Future,2025-01-08 00:00:00.000,2025-01-08 00:00:00.000,2025-01-10 00:00:00.000,2025-01-11 00:00:00.000,1,2025-01-08 05:55:29.520,1,31.00
17,imagett-17,12,18,Expired,2025-01-08 00:00:00.000,NULL,NULL,2025-01-21 00:00:00.000,0,2025-01-08 05:55:47.613,3,32.00
18,datta---1-bc-ap-off-pi-off-18,18,55,Expired,2025-01-10 00:00:00.000,NULL,NULL,2025-02-09 00:00:00.000,0,2025-01-10 04:08:32.763,3,17.00
19,datta---1-bc-ap-on-pi-on-19,16,58,Expired,2025-01-10 00:00:00.000,NULL,NULL,2025-02-09 00:00:00.000,1,2025-01-10 04:10:37.440,3,17.00
20,datta---1-bc-ap-on-pi-on-20,16,61,Expired,2025-01-10 00:00:00.000,NULL,NULL,2025-02-09 00:00:00.000,1,2025-01-10 04:32:17.927,3,17.00
21,imaget-21,9,66,Active,2025-01-10 00:00:00.000,NULL,2025-01-11 00:00:00.000,2025-01-11 00:00:00.000,0,2025-01-10 04:46:51.540,1,20.00
22,imaget-22,9,15,Active,2025-01-10 00:00:00.000,NULL,2025-01-12 00:00:00.000,2025-01-13 00:00:00.000,1,2025-01-10 05:22:22.773,1,31.00
23,datta---2-bc-ap-on-pi-on-23,21,70,Expired,2025-01-10 00:00:00.000,NULL,NULL,2025-03-09 00:00:00.000,1,2025-01-10 08:02:45.497,3,27.00
24,sp-expire-with-1bc-24,27,77,Expired,2025-01-10 00:00:00.000,NULL,NULL,2025-01-10 00:00:00.000,1,2025-01-10 10:28:55.070,3,30.00
25,sp-expire-with-1bc-25,27,80,Expired,2025-01-13 00:00:00.000,NULL,NULL,2025-01-13 00:00:00.000,1,2025-01-13 02:35:24.220,3,30.00
26,sp-expire-with-1bc-26,27,81,Expired,2025-02-01 00:00:00.000,NULL,NULL,2025-02-01 00:00:00.000,1,2025-01-13 02:44:33.040,3,30.00
27,sp-expire-with-1bc-27,27,82,Expired,2025-01-13 00:00:00.000,NULL,NULL,2025-01-13 00:00:00.000,1,2025-01-13 02:45:54.500,3,30.00
28,sp-expire-with-1bc-28,27,88,Expired,2025-01-13 00:00:00.000,NULL,NULL,2025-01-13 00:00:00.000,1,2025-01-13 08:41:38.663,3,30.00
29,imaget-29,9,99,Expired,2025-01-16 00:00:00.000,NULL,NULL,2025-01-16 00:00:00.000,1,2025-01-16 08:03:46.700,3,20.00
30,imagebilling-cycle-1-30,33,100,Expired,2025-01-16 00:00:00.000,NULL,NULL,2025-01-16 00:00:00.000,1,2025-01-16 08:16:28.643,3,23.00
31,imagebilling-cycle-1-31,33,101,Expired,2025-01-16 00:00:00.000,NULL,NULL,2025-01-16 00:00:00.000,1,2025-01-16 08:21:59.803,3,23.00
32,sp-ps-1month--32,34,111,Expired,2025-01-17 00:00:00.000,NULL,NULL,2025-02-16 00:00:00.000,1,2025-01-17 03:42:33.820,3,40.00
33,imagett-33,12,15,Expired,2025-01-17 00:00:00.000,NULL,NULL,2025-01-23 00:00:00.000,0,2025-01-17 04:06:34.220,3,16.00
34,imaget-34,9,113,Active,2025-01-17 00:00:00.000,NULL,2025-01-18 00:00:00.000,2025-01-18 00:00:00.000,1,2025-01-17 05:08:39.380,1,20.00
35,-imagebilling-cycle-until-cancelled-35,35,115,Renewed,2025-01-17 00:00:00.000,2025-02-26 09:54:11.410,NULL,9999-12-31 00:00:00.000,1,2025-01-17 06:10:34.967,4,23.00
36,ab--1-bc-ap-on-pi-on-36,41,16,Expired,2025-01-20 00:00:00.000,NULL,NULL,2025-02-19 00:00:00.000,1,2025-01-20 06:18:40.563,3,17.00
37,imaget-37,9,1,Active,2025-01-21 00:00:00.000,NULL,2025-01-22 00:00:00.000,2025-01-22 00:00:00.000,0,2025-01-21 08:02:09.800,1,20.00
38,imaget-38,9,1,Active,2025-01-21 00:00:00.000,NULL,2025-01-22 00:00:00.000,2025-01-22 00:00:00.000,0,2025-01-21 08:03:07.273,1,20.00
39,imaget-39,9,1,Active,2025-01-21 00:00:00.000,NULL,2025-01-22 00:00:00.000,2025-01-22 00:00:00.000,0,2025-01-21 08:07:12.863,1,20.00
40,imaget-40,9,1,Active,2025-01-21 00:00:00.000,NULL,2025-01-22 00:00:00.000,2025-01-22 00:00:00.000,0,2025-01-21 08:08:58.313,1,20.00
41,imaget-41,9,1,Active,2025-01-21 00:00:00.000,NULL,2025-01-22 00:00:00.000,2025-01-22 00:00:00.000,0,2025-01-21 08:10:53.183,1,20.00
42,imaget-42,9,1,Active,2025-01-21 00:00:00.000,NULL,2025-01-22 00:00:00.000,2025-01-22 00:00:00.000,0,2025-01-21 08:15:54.093,1,20.00
43,imaget-43,9,1,Active,2025-01-21 00:00:00.000,NULL,2025-01-22 00:00:00.000,2025-01-22 00:00:00.000,0,2025-01-21 08:16:30.400,1,20.00
44,imaget-44,9,1,Active,2025-01-21 00:00:00.000,NULL,2025-01-22 00:00:00.000,2025-01-22 00:00:00.000,0,2025-01-21 08:18:23.920,1,20.00
45,NULL,9,1,Active,2025-01-21 00:00:00.000,2025-01-21 00:00:00.000,NULL,NULL,0,2025-01-21 08:40:40.107,1,NULL
46,imaget-46,9,1,Active,2025-01-21 00:00:00.000,2025-01-21 00:00:00.000,2025-01-22 00:00:00.000,2025-01-22 00:00:00.000,0,2025-01-21 08:41:25.170,1,20.00
47,sp-expire-with-1bc-47,27,118,Active,2025-01-28 00:00:00.000,2025-01-29 00:00:00.000,NULL,2025-01-29 00:00:00.000,0,2025-01-28 06:02:47.020,3,65.00
48,NULL,54,118,Active,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,NULL,NULL,1,2025-01-28 06:45:03.963,1,NULL
49,NULL,53,117,Active,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,NULL,NULL,0,2025-01-28 08:47:30.603,1,NULL
50,NULL,55,118,Active,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,NULL,NULL,1,2025-01-28 08:47:31.197,1,NULL
51,NULL,53,117,Active,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,NULL,NULL,0,2025-01-28 08:47:37.750,1,NULL
52,NULL,54,18,Active,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,NULL,NULL,0,2025-01-28 08:49:01.587,1,NULL
53,NULL,54,18,Active,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,NULL,NULL,0,2025-01-28 08:49:39.187,1,NULL
54,kylestairstep-54,54,18,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,0,2025-01-28 08:51:48.693,1,25.00
55,kylestairstep-55,54,18,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,0,2025-01-28 08:53:04.593,1,25.00
56,bi-1w-bc-1-ea-ex-pm-v-56,57,13,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-02-27 00:00:00.000,0,2025-01-28 08:53:49.177,3,47000940.00
57,kyleperunit-57,55,118,Active,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,2025-01-30 00:00:00.000,2025-01-31 00:00:00.000,1,2025-01-28 09:01:29.953,1,190.00
58,ab-1-bc-ap-off-pi-off-58,39,1,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-02-27 00:00:00.000,0,2025-01-28 09:01:49.487,3,17.00
59,ab-1-bc-ap-off-pi-off-59,39,1,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-02-27 00:00:00.000,0,2025-01-28 09:03:30.747,3,17.00
60,bi-1w-bc-1-ea-ex-pm-v-60,57,13,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-02-27 00:00:00.000,0,2025-01-28 09:05:40.073,3,47000940.00
61,bi-1w-bc-1-ea-ex-pm-v-61,57,13,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-02-27 00:00:00.000,0,2025-01-28 09:06:29.513,3,47000940.00
62,ab-1-bc-ap-off-pi-off-62,39,1,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-02-27 00:00:00.000,0,2025-01-28 09:11:43.623,3,17.00
63,cb-group-check-63,6,1,Active,2025-01-28 00:00:00.000,NULL,2025-07-28 00:00:00.000,2026-01-27 00:00:00.000,1,2025-01-28 09:14:56.337,1,0.00
64,cb-group-check-64,6,1,Active,2025-01-28 00:00:00.000,NULL,2025-07-28 00:00:00.000,2026-01-27 00:00:00.000,1,2025-01-28 09:19:57.280,1,0.00
65,cb-group-check-65,6,1,Active,2025-01-28 00:00:00.000,NULL,2025-07-28 00:00:00.000,2026-01-27 00:00:00.000,1,2025-01-28 09:19:01.880,1,0.00
66,kylestairstep-66,54,18,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,0,2025-01-28 09:21:29.143,1,25.00
67,kylestairstep-67,54,18,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,0,2025-01-28 09:24:47.440,1,25.00
68,NULL,6,1,Active,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,NULL,NULL,1,2025-01-28 09:40:42.867,1,NULL
69,NULL,6,1,Active,2025-01-28 00:00:00.000,2025-01-28 00:00:00.000,NULL,NULL,1,2025-01-28 09:41:17.173,1,NULL
70,cb-group-check-70,6,1,Active,2025-01-28 00:00:00.000,NULL,2025-07-28 00:00:00.000,2026-01-27 00:00:00.000,1,2025-01-28 09:43:28.457,1,0.00
71,imagecomp-71,53,117,Active,2025-01-28 00:00:00.000,2025-01-29 00:00:00.000,2025-01-30 00:00:00.000,2025-01-31 00:00:00.000,0,2025-01-28 09:45:19.160,1,21.00
72,imaget-72,9,1,Expired,2025-01-28 00:00:00.000,NULL,NULL,2025-01-29 00:00:00.000,1,2025-01-28 09:46:50.377,1,20.00
73,imagecomp-73,53,117,NonRenew,2025-01-28 00:00:00.000,NULL,NULL,2025-01-28 00:00:00.000,0,2025-01-28 09:46:52.963,3,21.00
