ID,SubscriptionId,BillingStartDate,BillingEndDate,Status,PaymentGatewayStatus,Amount
1,2,2025-01-06 00:00:00.000,2025-02-25 06:39:40.297,Cancelled,Success,10.00
2,3,2025-01-06 00:00:00.000,2025-01-06 00:00:00.000,Complete,Success,20.00
3,4,2025-01-06 00:00:00.000,2025-01-06 00:00:00.000,Complete,,20.00
4,5,2025-01-07 00:00:00.000,2025-01-07 00:00:00.000,Complete,Success,20.00
5,6,2025-01-07 00:00:00.000,2025-03-03 04:38:24.010,Cancelled,Success,20.00
6,7,2025-01-07 00:00:00.000,2025-03-04 03:20:39.100,Cancelled,Success,20.00
7,8,2025-01-07 00:00:00.000,2025-01-07 00:00:00.000,Complete,Success,20.00
8,9,2025-01-07 00:00:00.000,2025-03-04 04:38:57.607,Cancelled,Success,20.00
9,10,2025-01-07 00:00:00.000,2025-01-07 00:00:00.000,Active,Success,20.00
10,11,2025-01-07 00:00:00.000,2025-01-07 00:00:00.000,Complete,Success,20.00
11,12,2025-01-07 00:00:00.000,2025-01-07 00:00:00.000,Complete,,20.00
12,13,2025-01-10 00:00:00.000,2025-02-28 03:00:51.717,Cancelled,Success,21.00
13,15,2025-01-10 00:00:00.000,2025-01-10 00:00:00.000,Complete,,20.00
14,17,2025-01-08 00:00:00.000,2025-01-14 00:00:00.000,Complete,,16.00
15,18,2025-01-10 00:00:00.000,2025-02-09 00:00:00.000,Complete,,17.00
16,21,2025-01-10 00:00:00.000,2025-01-10 00:00:00.000,Active,,20.00
17,22,2025-01-10 00:00:00.000,2025-01-10 00:00:00.000,Complete,Success,20.00
18,24,2025-01-10 00:00:00.000,2025-01-10 00:00:00.000,Complete,Success,30.00
19,16,2025-01-08 00:00:00.000,2025-01-08 00:00:00.000,Active,Error Message: Customer ProfileID is Empty,20.00
20,14,2025-01-08 00:00:00.000,2025-03-04 04:52:16.100,Cancelled,Success,20.00
21,20,2025-01-10 00:00:00.000,2025-02-09 00:00:00.000,Complete,Success,17.00
22,23,2025-01-10 00:00:00.000,2025-02-09 00:00:00.000,Complete,Success,17.00
23,25,2025-01-13 00:00:00.000,2025-01-13 00:00:00.000,Complete,Success,30.00
24,27,2025-01-13 00:00:00.000,2025-01-13 00:00:00.000,Complete,Success,30.00
25,28,2025-01-13 00:00:00.000,2025-01-13 00:00:00.000,Complete,Success,30.00
26,19,2025-01-10 00:00:00.000,2025-02-09 00:00:00.000,Complete,Success,17.00
27,29,2025-01-16 00:00:00.000,2025-01-16 00:00:00.000,Complete,Success,20.00
28,30,2025-01-16 00:00:00.000,2025-01-16 00:00:00.000,Complete,Success,23.00
29,31,2025-01-16 00:00:00.000,2025-01-16 00:00:00.000,Complete,Success,23.00
30,4,2025-01-07 00:00:00.000,2025-02-27 02:34:06.593,Cancelled,,11.00
31,3,2025-01-07 00:00:00.000,2025-02-25 08:58:26.610,Cancelled,Success,11.00
32,5,2025-01-08 00:00:00.000,2025-02-27 04:46:57.493,Cancelled,Success,11.00
33,12,2025-01-08 00:00:00.000,2025-01-08 00:00:00.000,Complete,,11.00
